ABA2012,SEKOLAH KEBANGSAAN SERI KEPAYANG,31400
ABA2014,SEKOLAH KEBANGSAAN KAMPUNG PASIR PUTEH,31650
ABA2015,SEKOLAH KEBANGSAAN KUALA PARI,31450
ABA2016,SEKOLAH KEBANGSAAN PENGKALAN PEGOH,31500
ABA2017,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,31300
ABA2030,SEKOLAH KEBANGSAAN TOH INDERA WANGSA AHMAD,31000
ABA2031,SEKOLAH KEBANGSAAN SIPUTEH,31560
ABA2032,SEKOLAH KEBANGSAAN TRONOH,31750
ABA2033,SEKOLAH KEBANGSAAN KG. SERI RAHMAT,31500
ABA2034,SEKOLAH KEBANGSAAN TANJUNG TUALANG,31000
ABA2035,SEKOLAH KEBANGSAAN AYER PAPAN,31800
ABA2036,SEKOLAH KEBANGSAAN CHANGKAT TIN,31800
ABA2038,SEKOLAH KEBANGSAAN BAKAP,31000
ABA2039,SEKOLAH KEBANGSAAN PASUKAN POLIS HUTAN,31150
ABA2040,SEKOLAH KEBANGSAAN AYER DENAK,31750
ABA2041,SEKOLAH KEBANGSAAN MANJOI (SATU),30020
ABA2042,SEKOLAH KEBANGSAAN GURU KALGIDHAR,30100
ABA2043,SEKOLAH KEBANGSAAN MANJOI (DUA),30020
ABA2044,SEKOLAH KEBANGSAAN PENDIDIKAN KHAS IPOH,31200
ABA2045,SEKOLAH KEBANGSAAN JELAPANG,30020
ABA2046,SEKOLAH KEBANGSAAN DATO' AHMAD SAID TAMBAHAN,30020
ABA2047,SEKOLAH KEBANGSAAN POS RAYA,31300
ABA2049,SEKOLAH KEBANGSAAN SERI TANJUNG,31250
ABA2050,SEKOLAH KEBANGSAAN SERI AMPANG,31350
ABA2051,SEKOLAH KEBANGSAAN JALAN PEGOH,31650
ABA2052,SEKOLAH KEBANGSAAN SERI KELEBANG,31200
ABA2053,SEKOLAH KEBANGSAAN PERPADUAN,31150
ABA2055,SEKOLAH KEBANGSAAN RAJA CHULAN,31400
ABA2056,SEKOLAH KEBANGSAAN TAMAN BERSATU,31300
ABA2057,SEKOLAH KEBANGSAAN PENGKALAN,31500
ABA2058,SEKOLAH KEBANGSAAN JATI,30020
ABA2059,SEKOLAH KEBANGSAAN BANDAR BARU PUTERA,31400
ABA2060,SEKOLAH KEBANGSAAN SILIBIN,30100
ABA2061,SEKOLAH KEBANGSAAN TASEK DERMAWAN,31400
ABA2062,SEKOLAH KEBANGSAAN SIMPANG PULAI,31300
ABA2063,SEKOLAH KEBANGSAAN RAPAT JAYA,31350
ABA2064,SEKOLAH KEBANGSAAN PINJI,31650
ABA2065,SEKOLAH KEBANGSAAN JELAPANG JAYA,30020
ABA2066,SEKOLAH KEBANGSAAN BUNTONG,30100
ABA2067,SEKOLAH KEBANGSAAN SERI JAYA,31000
ABA2068,SEKOLAH KEBANGSAAN RAPAT SETIA,31350
ABA2069,SEKOLAH KEBANGSAAN WIRA JAYA,31350
ABA2070,SEKOLAH KEBANGSAAN SERI MUTIARA,30010
ABA2071,SEKOLAH KEBANGSAAN TASIK DAMAI,30010
ABA2072,SEKOLAH KEBANGSAAN PAKATAN JAYA,31150
ABA2073,SEKOLAH KEBANGSAAN KELEBANG JAYA,31200
ABA2074,SEKOLAH KEBANGSAAN TANAH HITAM,31200
ABA2075,SEKOLAH KEBANGSAAN MERU RAYA,30020
ABA3001,SEKOLAH KEBANGSAAN ALOR PONGSU,34300
ABA3002,SEKOLAH KEBANGSAAN BAGAN SERAI,34300
ABA3003,SEKOLAH KEBANGSAAN BUKIT MERAH,34310
ABA3004,SEKOLAH KEBANGSAAN CHANGKAT LOBAK,34310
ABA3005,SEKOLAH KEBANGSAAN DATO' MAS'UD,34300
ABA3006,SEKOLAH KEBANGSAAN KUALA KURAU,34350
ABA3007,SEKOLAH KEBANGSAAN MATANG GERDU,34300
ABA3008,SEKOLAH KEBANGSAAN MATANG JELUTONG,34300
ABA3009,SEKOLAH KEBANGSAAN PARIT HAJI TAIB,34300
ABA3010,SEKOLAH KEBANGSAAN PARIT HAJI AMAN,34300
ABA3011,SEKOLAH KEBANGSAAN SUNGAI BOGAK,34300
ABA3012,SEKOLAH KEBANGSAAN SRI SIAKAP,34350
ABA3013,SEKOLAH KEBANGSAAN TEBUK PANCUR,34400
ABA3014,SEKOLAH KEBANGSAAN TELUK MEDAN,34300
ABA3015,SEKOLAH KEBANGSAAN TELOK PIAL,34350
ABA3016,SEKOLAH KEBANGSAAN JALAN BAHARU,34200
ABA3017,SEKOLAH KEBANGSAAN HAJI RAMLI,34250
ABA3018,SEKOLAH KEBANGSAAN KAMPONG KEDAH,34200
ABA3019,SEKOLAH KEBANGSAAN SRI KERIAN,34200
ABA3020,SEKOLAH KEBANGSAAN PARIT HJ WAHAB,34250
ABA3021,SEKOLAH KEBANGSAAN PARIT TOK NGAH,34200
ABA3022,SEKOLAH KEBANGSAAN SUNGAI BAHARU,34350
ABA3023,SEKOLAH KEBANGSAAN SUNGAI BURONG,34350
ABA3024,SEKOLAH KEBANGSAAN SUNGAI STAR,34200
ABA3025,SEKOLAH KEBANGSAAN TANAH KEBUN,34200
ABA3026,SEKOLAH KEBANGSAAN TANJONG PIANDANG,34250
ABA3027,SEKOLAH KEBANGSAAN TITI SERONG,34200
ABA3028,SEKOLAH KEBANGSAAN SUNGAI MEGAT ARIS,34250
ABA3029,SEKOLAH KEBANGSAAN GUNONG SEMANGGOL,34400
ABA3030,SEKOLAH KEBANGSAAN KAMPONG DEW,34400
ABA3031,SEKOLAH KEBANGSAAN DATO' ALAUDIN,34400
ABA3032,SEKOLAH KEBANGSAAN SAMA GAGAH,34400
ABA3033,SEKOLAH KEBANGSAAN SUNGAI KEPAR,34400
ABA3034,SEKOLAH KEBANGSAAN SERI PINANG,34400
ABA3035,SEKOLAH KEBANGSAAN KAMPONG TUA,34400
ABA3036,SEKOLAH KEBANGSAAN KAMPONG SELAMAT,34400
ABA3037,SEKOLAH KEBANGSAAN HAJI DAHLAN,34400
ABA3038,SEKOLAH KEBANGSAAN KUALA GULA,34350
ABA3039,SEKOLAH KEBANGSAAN KUALA KURAU (BARU),34350
ABA3040,SEKOLAH KEBANGSAAN BARU PARIT BUNTAR,34200
ABA3041,SEKOLAH KEBANGSAAN WAWASAN,34200
ABA4001,SEKOLAH KEBANGSAAN SAYONG,33040
ABA4002,SEKOLAH KEBANGSAAN KOTA LAMA KANAN,33040
ABA4003,SEKOLAH KEBANGSAAN PADANG AMPANG,33000
ABA4004,SEKOLAH KEBANGSAAN BELURU,33600
ABA4005,SEKOLAH KEBANGSAAN BENDANG KERING,33040
ABA4006,SEKOLAH KEBANGSAAN MENORA,33000
ABA4007,SEKOLAH KEBANGSAAN BEKOR,33800
ABA4008,SEKOLAH KEBANGSAAN KUALA KENAS,33000
ABA4009,SEKOLAH KEBANGSAAN SENGGANG,33000
ABA4010,SEKOLAH KEBANGSAAN RAMBAI TUJUH,33000
ABA4011,SEKOLAH KEBANGSAAN SULTAN IDRIS II,33000
ABA4012,SEKOLAH KEBANGSAAN RAJA PEREMPUAN MUZWIN,33000
